,CallerAudio,AgentAudio,Transcript,WhisperTranscript,Word2Vec,GloVe,BERT,CallerZCR,CallerEnergy,CallerSpectralCentroid,CallerSpectralSpread,CallerPitch,CallerSpectralEntropy,AgentZCR,AgentEnergy,AgentSpectralCentroid,AgentSpectralSpread,AgentPitch,AgentSpectralEntropy,EmotionScore
0,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,hello this is harper valley national bank my name is robert how can i help you today,"{'text': ' you', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.06, 'text': ' you', 'tokens': [50363, 345, 50466], 'temperature': 0.0, 'avg_logprob': -0.586230456829071, 'compression_ratio': 0.2727272727272727, 'no_speech_prob': 0.9372286796569824}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.0,0.0,0.0,0.0,,,0.35782724056603776,0.040853016,816.200709108259,466.65166003041776,,,"{'neutral': 0.3355013132095337, 'negative': 0.024769829586148262, 'positive': 0.6397289037704468}"
1,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,[noise] hi my name is james brown and i would like to transfer money between my accounts,"{'text': ' Hi, my name is James Brown and I would like to transfer money between my accounts.', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 5.76, 'text': ' Hi, my name is James Brown and I would like to transfer money between my accounts.', 'tokens': [50363, 15902, 11, 616, 1438, 318, 3700, 4373, 290, 314, 561, 588, 284, 4351, 1637, 1022, 616, 5504, 13, 50651], 'temperature': 0.0, 'avg_logprob': -0.2455054691859654, 'compression_ratio': 1.025, 'no_speech_prob': 0.007495873607695103}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.3038170855978261,0.04037487,835.6691147402836,517.3237776897054,,,0.46065090013586957,0.00020462363,892.84046653886,521.0691024319436,,,"{'neutral': 0.49335432052612305, 'negative': 0.08853410929441452, 'positive': 0.4181116223335266}"
2,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,okay what is the transfer amount,"{'text': ' Thank you.', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 1.0, 'text': ' Thank you.', 'tokens': [50363, 6952, 345, 13, 50413], 'temperature': 0.0, 'avg_logprob': -0.6499075094858805, 'compression_ratio': 0.5555555555555556, 'no_speech_prob': 0.9136458039283752}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.02747521033653846,0.00027897104,277.4370025399331,145.76373829640184,,,0.4422137920673077,0.019427035,891.7711055209494,514.6015852828184,,,"{'neutral': 0.5524061918258667, 'negative': 0.21945613622665405, 'positive': 0.22813774645328522}"
3,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,uh fifty dollars,"{'text': ' $50.', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 1.6, 'text': ' $50.', 'tokens': [50363, 720, 1120, 13, 50443], 'temperature': 0.0, 'avg_logprob': -0.5576290289560953, 'compression_ratio': 0.3333333333333333, 'no_speech_prob': 0.09082476794719696}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.37732872596153844,0.03246752,775.5468284924486,466.919798944853,,,0.3840144230769231,0.00019241762,868.4504089479756,537.391059489117,,,"{'neutral': 0.5759010910987854, 'negative': 0.18074826896190643, 'positive': 0.24335063993930817}"
4,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,and what is the source account,"{'text': ' you', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.06, 'text': ' you', 'tokens': [50363, 345, 50466], 'temperature': 0.0, 'avg_logprob': -0.586230456829071, 'compression_ratio': 0.2727272727272727, 'no_speech_prob': 0.9372286796569824}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.0,0.0,0.0,0.0,,,0.3372721354166667,0.0006073459,801.3344097557408,523.2197607198545,,,"{'neutral': 0.520818293094635, 'negative': 0.3243200182914734, 'positive': 0.154861718416214}"
5,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,okay i want to transfer from my savings account to my checking account,"{'text': ' Okay, I want to transfer from my savings account to my checking account.', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 3.36, 'text': ' Okay, I want to transfer from my savings account to my checking account.', 'tokens': [50363, 16805, 11, 314, 765, 284, 4351, 422, 616, 10653, 1848, 284, 616, 10627, 1848, 13, 50531], 'temperature': 0.0, 'avg_logprob': -0.24698093202379015, 'compression_ratio': 1.0746268656716418, 'no_speech_prob': 0.0010169738670811057}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.31425419560185186,0.0346452,798.6952920698038,521.9109168697787,,,0.38212528935185186,0.007033199,838.1317516655753,511.0453375253049,,,"{'neutral': 0.5766051411628723, 'negative': 0.16546712815761566, 'positive': 0.25792768597602844}"
6,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,okay so that's fifty dollars from savings to checking,"{'text': ' you', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.06, 'text': ' you', 'tokens': [50363, 345, 50466], 'temperature': 0.0, 'avg_logprob': -0.586230456829071, 'compression_ratio': 0.2727272727272727, 'no_speech_prob': 0.9372286796569824}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.0,0.0,0.0,0.0,,,0.3612275965073529,0.039197266,737.2204729525165,450.40438478857095,,,"{'neutral': 0.42252886295318604, 'negative': 0.04609788581728935, 'positive': 0.5313732624053955}"
7,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,correct,"{'text': ' Correct.', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 0.5, 'text': ' Correct.', 'tokens': [50363, 22941, 13, 50388], 'temperature': 0.0, 'avg_logprob': -0.5735761165618897, 'compression_ratio': 0.5, 'no_speech_prob': 0.04668603092432022}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.4031982421875,0.046154097,930.8018002990134,489.2665814565902,,,0.2999267578125,0.00018007323,893.9516394329368,536.9913666916848,,,"{'neutral': 0.5358113646507263, 'negative': 0.20852519571781158, 'positive': 0.2556634247303009}"
8,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,alright i've gone ahead and transferred that is there anything else i can help you with,"{'text': ' you', 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.06, 'text': ' you', 'tokens': [50363, 345, 50466], 'temperature': 0.0, 'avg_logprob': -0.586230456829071, 'compression_ratio': 0.2727272727272727, 'no_speech_prob': 0.9372286796569824}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.0,0.0,0.0,0.0,,,0.306640625,0.024553413,742.5374626293218,462.20990795445516,,,"{'neutral': 0.3385200798511505, 'negative': 0.036386556923389435, 'positive': 0.6250933408737183}"
9,6d3ce86a6e5445fa.wav,6d3ce86a6e5445fa.wav,uh no that's all thank you,"{'text': "" That's all. Thank you."", 'segments': [{'id': 0, 'seek': 0, 'start': 0.0, 'end': 1.44, 'text': "" That's all. Thank you."", 'tokens': [50363, 1320, 338, 477, 13, 6952, 345, 13, 50435], 'temperature': 0.0, 'avg_logprob': -0.5763914108276367, 'compression_ratio': 0.7333333333333333, 'no_speech_prob': 0.009825789369642735}], 'language': 'en'}",word2vec_features,glove_features,bert_features,0.2681477864583333,0.027349541,729.4194266361196,435.5772714215033,,,0.2923177083333333,0.03611539,661.2025496185091,435.242273232189,,,"{'neutral': 0.3040050268173218, 'negative': 0.026629310101270676, 'positive': 0.669365644454956}"
